Stall Name,Cuisine,Shop Type,Address
Adam Chicken,[None],Hawker,#01-29 Ayer Rajah Food Centre West Coast Drive 120503
NO.1 Adam's Nasi Lemak,"['Asian', 'Halal', 'Malaysian']",Kiosk or Stall,#01-01 Adam Road Food Centre Adam Road 289876
Nur Adam’s Delights,['Indian'],Kiosk or Stall,Stall No.3  Sembawang Road 758504
Selamat Datang Warong Pak Sapari,"['Chinese', 'Malaysian']",Kiosk or Stall,#01-09 Adam Road Food Centre Adam Road 289876
Apit Drinks Stall,['Drinks'],Kiosk or Stall,#01-06 Adam Road Food Centre Adam Road 289876
Maki-San Japanese Restaurant (Kampung Admiralty),"['Halal', 'Japanese']",Kiosk or Stall,#01-14 Kampung Admiralty Woodlands Drive 71 730676
Adam Mutton Soup,"['Chinese', 'Singaporean']",Kiosk or Stall,#01-17 Adam Road Food Centre Adam Road 289876
Adam's Corner,"['Halal', 'Taiwanese']",Restaurant,  Serangoon Road 218140
CRAVE (Changi Airport Terminal 3),['Malaysian'],Kiosk or Stall,Basement 2 Changi Airport Terminal 3 Airport Boulevard 819663
Yummy Rojak,"['Chinese', 'Local', 'Seafood', 'Singaporean', 'Snacks']",Kiosk or Stall,#01-19 Adam Road Food Centre Adam Road 289876
Starbucks (Kampung Admiralty),"['American', 'European', 'Western']",Cafe,#01-02 Kampung Admiralty Woodlands Drive 71 730676
Ibrahim Mee Stall,"['Indonesian', 'Local', 'Malaysian']",Kiosk or Stall,#01-04 Adam Road Food Centre Adam Road 289876
Yassin Kampung (Woodlands Drive),"['Asian', 'Halal']",Restaurant,#01-03 Kampung Admiralty Woodlands Drive 71 730676
Zaiton Satay,"['Asian', 'Desserts', 'Snacks']",Kiosk or Stall,#01-07 Adam Road Food Centre Adam Road 289876
Jun's Chicken Rice,"['Chinese', 'Malaysian']",Kiosk or Stall,#01-08 Adam Road Food Centre Adam Road 289876
Adam Fishball Noodles,['Chinese'],Kiosk or Stall,#01-25 Adam Road Food Centre Adam Road 289876
Seng Teck Kee,['Chinese'],Kiosk or Stall,#01-21 Adam Road Food Centre Adam Road 289876
Long John Silver's (Kampung Admiralty),"['American', 'Halal', 'Western']",Fast Food Place,#01-12 Kampung Admiralty Woodlands Drive 71 730676
Sin Chuan Huat Drinks Stall,"['Chinese', 'Drinks', 'Singaporean']",Kiosk or Stall,#01-20 Adam Road Food Centre Adam Road 289876
The Sugarcane Plant,['Chinese'],Kiosk or Stall,#01-30 Adam Road Food Centre Adam Road 289876
Ibrahim Mee Stall,"['Indonesian', 'Local', 'Malaysian']",Kiosk or Stall,#01-04 Adam Road Food Centre Adam Road 289876
Adam's Corner,"['Halal', 'Taiwanese']",Restaurant,  Serangoon Road 218140
Adam Seafood BBQ,"['Barbecue', 'Chinese', 'Local', 'Seafood']",Kiosk or Stall,#01-18 Adam Road Food Centre Adam Road 289876
Stall #22,['Singaporean'],Kiosk or Stall,#01-22 Adam Road Food Centre Adam Road 289876
The Sugarcane Plant,['Chinese'],Kiosk or Stall,#01-30 Adam Road Food Centre Adam Road 289876
The Chicken Rice Ex-press,['Asian'],Cafe,  Senoko Drive 758207
Fragrance (Woodlands 888),"['Chinese', 'Snacks']",Food Retailer,#01-751 Woodlands 888 Woodlands Drive 50 730888
CRAVE (Changi Airport Terminal 3),['Malaysian'],Kiosk or Stall,Basement 2 Changi Airport Terminal 3 Airport Boulevard 819663
Fragrance (Woodlands 888),"['Chinese', 'Snacks']",Food Retailer,#01-751 Woodlands 888 Woodlands Drive 50 730888
Ya Kun Kaya Toast (Kampung Admiralty),"['Local', 'Singaporean']",Cafe,#01-18 Kampung Admiralty Woodlands Drive 71 730676
Warong Kim's Goreng Delights (Woodlands),"['Chinese', 'Local', 'Seafood']",Kiosk or Stall,#02-40  Woodlands Drive 71 730676
Noo Cheng Adam Road Prawn Noodle,"['Asian', 'Chinese', 'Local']",Kiosk or Stall,#01-27 Adam Road Food Centre Adam Road 289876
Jun's Chicken Rice,"['Chinese', 'Malaysian']",Kiosk or Stall,#01-08 Adam Road Food Centre Adam Road 289876
Ding Ji (Woodland 888),['Chinese'],Kiosk or Stall,#01-755  Woodlands Drive 50 730888
KFC (Woodlands 888),"['Halal', 'Western']",Fast Food Place,#01-729 888 Plaza Woodlands Drive 50 730888
Selena's Adam Road Authentic Nasi Lemak & Chilli Sambal,['Malaysian'],Kiosk or Stall,#02-28 Shunfu Mart Food Centre Shunfu Road 570320
The Sugar Cane Plant,['Drinks'],Kiosk or Stall,#01-30 Adam Road Food Centre Adam Road 289876
Noo Cheng Adam Road Prawn Mee,"['Asian', 'Chinese', 'Local']",Kiosk or Stall,Stall 4 Zion Riverside Food Centre Zion Road 247792
Noo Cheng Adam Road Prawn Noodle,"['Asian', 'Chinese', 'Local']",Kiosk or Stall,#01-27 Adam Road Food Centre Adam Road 289876
Adam Drink Store,['Drinks'],Kiosk or Stall,#01-32 Adam Road Food Centre Adam Road 289876
Bahrakath Mutton Soup King,['Indian'],Kiosk or Stall,#01-10 Adam Road Food Centre Adam Road 289876
Teck Kee Hot & Cold Dessert,"['Asian', 'Desserts', 'Local', 'Snacks']",Kiosk or Stall,#01-31 Adam Road Food Centre Adam Road 289876
Steward Fruit Juice,"['Asian', 'Fruits & Drinks', 'Local']",Kiosk or Stall,#01-28 Adam Road Food Centre Adam Road 289876
Apit Drinks Stall,['Drinks'],Kiosk or Stall,#01-06 Adam Road Food Centre Adam Road 289876
Taj Mahal Drinks Stall,"['Fruits & Drinks', 'Indian']",Kiosk or Stall,#01-15 Adam Road Food Centre Adam Road 289876
Nasi Singapura House of Lontong,"['Chinese', 'Malaysian']",Kiosk or Stall,#01-03 Adam Road Food Centre Adam Road 289876
Cheng Ji,"['Chinese', 'Local']",Kiosk or Stall,#01-24 Adam Road Food Centre Adam Road 289876
Stall #22,['Singaporean'],Kiosk or Stall,#01-22 Adam Road Food Centre Adam Road 289876
Stewart Fruit Juice,"['Drinks', 'Fruits & Drinks', 'Juices', 'Snacks']",Kiosk or Stall,#01-28 Adam Road Food Centre Adam Road 289876
Al-Sheik Mee Stall,['Indian'],Kiosk or Stall,#01-16 Adam Road Food Centre Adam Road 289876
Ann Chin Popiah (W573 Coffeeshop Pte Ltd),"['Asian', 'Chinese', 'Local', 'Snacks']",Kiosk or Stall,-  Woodlands Drive 16 730573
Like Pudding (Kampung Admiralty Hawker Centre),['Desserts'],Kiosk or Stall, Kampung Admiralty Hawker Centre Woodlands Drive 71 730676
Yu Kee Duck Rice (Kampung Admiralty Hawker Centre),"['Asian', 'Local']",Kiosk or Stall,#02-15 Kampung Admiralty Woodlands Drive 71 730676
Selera Rasa Nasi Lemak,"['Asian', 'Halal', 'Malaysian']",Kiosk or Stall,#01-02 Adam Road Food Centre Adam Road 289876
Sanko Foods,"['Asian', 'Indian', 'South Indian']",Restaurant, Japanese Association Singapore Adam Road 289899
Adam's Indian Rojak,['Indian'],Kiosk or Stall,#01-05 Adam Road Food Centre Adam Road 289876
Adam's Delights,"['Chinese', 'Indian', 'South Indian']",Kiosk or Stall,#01-11 Adam Road Food Centre Adam Road 289876
Donguri,"['Asian', 'Japanese']",Restaurant,Level 1 The Japanese Association Adam Road 289899
Warong Kim's Goreng Delights (Woodlands),"['Chinese', 'Local', 'Seafood']",Kiosk or Stall,#02-40  Woodlands Drive 71 730676
Ding Ji (573 Woodlands Drive),['Chinese'],Kiosk or Stall,#01-01 Woodlands Glen Woodlands Drive 16 730573
Nasi Singapura House of Lontong,"['Chinese', 'Malaysian']",Kiosk or Stall,#01-03 Adam Road Food Centre Adam Road 289876
Thajudeen Tehtarik,"['Drinks', 'Singaporean']",Kiosk or Stall,#01-12 Adam Road Food Centre Adam Road 289876
Yummy Rojak,"['Chinese', 'Local', 'Seafood', 'Singaporean', 'Snacks']",Kiosk or Stall,#01-19 Adam Road Food Centre Adam Road 289876
Zhu Ji Hai Nan Chicken Rice,"['Chinese', 'Hainanese', 'Local']",Kiosk or Stall,#01-23 Adam Road Food Centre Adam Road 289876
NO.1 Adam's Nasi Lemak,"['Asian', 'Halal', 'Malaysian']",Kiosk or Stall,#01-01 Adam Road Food Centre Adam Road 289876
Victor's Japanese Delights,['Japanese'],Kiosk or Stall,#01-05 Old Airport Road Food Centre Old Airport Road 390051
Ivan's Carbina (Woodlands),"['Steak and Grills', 'Western']",Kiosk or Stall,#01-01 Lucky Star Coffeeshop Woodlands Avenue 5 730354
