Stall Name,Cuisine,Shop Type,Address
Adam Chicken,[None],Hawker,#01-29 Ayer Rajah Food Centre West Coast Drive 120503
Adam's Corner,"['Halal', 'Taiwanese']",Restaurant,  Serangoon Road 218140
Selena's Adam Road Authentic Nasi Lemak & Chilli Sambal,['Malaysian'],Kiosk or Stall,#02-28 Shunfu Mart Food Centre Shunfu Road 570320
Thajudeen Tehtarik,"['Drinks', 'Singaporean']",Kiosk or Stall,#01-12 Adam Road Food Centre Adam Road 289876
Yu Kee Duck Rice (Kampung Admiralty Hawker Centre),"['Asian', 'Local']",Kiosk or Stall,#02-15 Kampung Admiralty Woodlands Drive 71 730676
Seng Teck Kee,['Chinese'],Kiosk or Stall,#01-21 Adam Road Food Centre Adam Road 289876
Adam Mutton Soup,"['Chinese', 'Singaporean']",Kiosk or Stall,#01-17 Adam Road Food Centre Adam Road 289876
Adam Fishball Noodles,['Chinese'],Kiosk or Stall,#01-25 Adam Road Food Centre Adam Road 289876
Yummy Rojak,"['Chinese', 'Local', 'Seafood', 'Singaporean', 'Snacks']",Kiosk or Stall,#01-19 Adam Road Food Centre Adam Road 289876
Donguri,"['Asian', 'Japanese']",Restaurant,Level 1 The Japanese Association Adam Road 289899
Adam Drink Store,['Drinks'],Kiosk or Stall,#01-32 Adam Road Food Centre Adam Road 289876
Yassin Kampung (Woodlands Drive),"['Asian', 'Halal']",Restaurant,#01-03 Kampung Admiralty Woodlands Drive 71 730676
Zhu Ji Hai Nan Chicken Rice,"['Chinese', 'Hainanese', 'Local']",Kiosk or Stall,#01-23 Adam Road Food Centre Adam Road 289876
Adam's Indian Rojak,['Indian'],Kiosk or Stall,#01-05 Adam Road Food Centre Adam Road 289876
Teck Kee Hot & Cold Dessert,"['Asian', 'Desserts', 'Local', 'Snacks']",Kiosk or Stall,#01-31 Adam Road Food Centre Adam Road 289876
Sin Chuan Huat Drinks Stall,"['Chinese', 'Drinks', 'Singaporean']",Kiosk or Stall,#01-20 Adam Road Food Centre Adam Road 289876
Adam's Corner,"['Halal', 'Taiwanese']",Restaurant,  Serangoon Road 218140
Adam Seafood BBQ,"['Barbecue', 'Chinese', 'Local', 'Seafood']",Kiosk or Stall,#01-18 Adam Road Food Centre Adam Road 289876
KFC (Woodlands 888),"['Halal', 'Western']",Fast Food Place,#01-729 888 Plaza Woodlands Drive 50 730888
Selamat Datang Warong Pak Sapari,"['Chinese', 'Malaysian']",Kiosk or Stall,#01-09 Adam Road Food Centre Adam Road 289876
The Chicken Rice Ex-press,['Asian'],Cafe,  Senoko Drive 758207
CRAVE (Changi Airport Terminal 3),['Malaysian'],Kiosk or Stall,Basement 2 Changi Airport Terminal 3 Airport Boulevard 819663
Ding Ji (573 Woodlands Drive),['Chinese'],Kiosk or Stall,#01-01 Woodlands Glen Woodlands Drive 16 730573
Long John Silver's (Kampung Admiralty),"['American', 'Halal', 'Western']",Fast Food Place,#01-12 Kampung Admiralty Woodlands Drive 71 730676
Nasi Singapura House of Lontong,"['Chinese', 'Malaysian']",Kiosk or Stall,#01-03 Adam Road Food Centre Adam Road 289876
Stall #22,['Singaporean'],Kiosk or Stall,#01-22 Adam Road Food Centre Adam Road 289876
Bahrakath Mutton Soup King,['Indian'],Kiosk or Stall,#01-10 Adam Road Food Centre Adam Road 289876
Adam's Delights,"['Chinese', 'Indian', 'South Indian']",Kiosk or Stall,#01-11 Adam Road Food Centre Adam Road 289876
Warong Kim's Goreng Delights (Woodlands),"['Chinese', 'Local', 'Seafood']",Kiosk or Stall,#02-40  Woodlands Drive 71 730676
Fragrance (Woodlands 888),"['Chinese', 'Snacks']",Food Retailer,#01-751 Woodlands 888 Woodlands Drive 50 730888
Selera Rasa Nasi Lemak,"['Asian', 'Halal', 'Malaysian']",Kiosk or Stall,#01-02 Adam Road Food Centre Adam Road 289876
Taj Mahal Drinks Stall,"['Fruits & Drinks', 'Indian']",Kiosk or Stall,#01-15 Adam Road Food Centre Adam Road 289876
Ibrahim Mee Stall,"['Indonesian', 'Local', 'Malaysian']",Kiosk or Stall,#01-04 Adam Road Food Centre Adam Road 289876
Adam Drink Store,['Drinks'],Kiosk or Stall,#01-32 Adam Road Food Centre Adam Road 289876
Steward Fruit Juice,"['Asian', 'Fruits & Drinks', 'Local']",Kiosk or Stall,#01-28 Adam Road Food Centre Adam Road 289876
Jun's Chicken Rice,"['Chinese', 'Malaysian']",Kiosk or Stall,#01-08 Adam Road Food Centre Adam Road 289876
Al-Sheik Mee Stall,['Indian'],Kiosk or Stall,#01-16 Adam Road Food Centre Adam Road 289876
Ya Kun Kaya Toast (Kampung Admiralty),"['Local', 'Singaporean']",Cafe,#01-18 Kampung Admiralty Woodlands Drive 71 730676
Cheng Ji,"['Chinese', 'Local']",Kiosk or Stall,#01-24 Adam Road Food Centre Adam Road 289876
The Sugar Cane Plant,['Drinks'],Kiosk or Stall,#01-30 Adam Road Food Centre Adam Road 289876
The Sugarcane Plant,['Chinese'],Kiosk or Stall,#01-30 Adam Road Food Centre Adam Road 289876
Maki-San Japanese Restaurant (Kampung Admiralty),"['Halal', 'Japanese']",Kiosk or Stall,#01-14 Kampung Admiralty Woodlands Drive 71 730676
Adam Seafood BBQ,"['Barbecue', 'Chinese', 'Local', 'Seafood']",Kiosk or Stall,#01-18 Adam Road Food Centre Adam Road 289876
Ding Ji (Woodland 888),['Chinese'],Kiosk or Stall,#01-755  Woodlands Drive 50 730888
CRAVE (Changi Airport Terminal 3),['Malaysian'],Kiosk or Stall,Basement 2 Changi Airport Terminal 3 Airport Boulevard 819663
Like Pudding (Kampung Admiralty Hawker Centre),['Desserts'],Kiosk or Stall, Kampung Admiralty Hawker Centre Woodlands Drive 71 730676
Zaiton Satay,"['Asian', 'Desserts', 'Snacks']",Kiosk or Stall,#01-07 Adam Road Food Centre Adam Road 289876
Starbucks (Kampung Admiralty),"['American', 'European', 'Western']",Cafe,#01-02 Kampung Admiralty Woodlands Drive 71 730676
Ann Chin Popiah (W573 Coffeeshop Pte Ltd),"['Asian', 'Chinese', 'Local', 'Snacks']",Kiosk or Stall,-  Woodlands Drive 16 730573
Noo Cheng Adam Road Prawn Noodle,"['Asian', 'Chinese', 'Local']",Kiosk or Stall,#01-27 Adam Road Food Centre Adam Road 289876
Nur Adam’s Delights,['Indian'],Kiosk or Stall,Stall No.3  Sembawang Road 758504
Stewart Fruit Juice,"['Drinks', 'Fruits & Drinks', 'Juices', 'Snacks']",Kiosk or Stall,#01-28 Adam Road Food Centre Adam Road 289876
Apit Drinks Stall,['Drinks'],Kiosk or Stall,#01-06 Adam Road Food Centre Adam Road 289876
Nasi Singapura House of Lontong,"['Chinese', 'Malaysian']",Kiosk or Stall,#01-03 Adam Road Food Centre Adam Road 289876
Hong Lik Restaurant,"['Asian', 'Chinese', 'Malaysian']",Restaurant,#01-35  Woodlands Link 738733
Sanko Foods,"['Asian', 'Indian', 'South Indian']",Restaurant, Japanese Association Singapore Adam Road 289899
Noo Cheng Adam Road Prawn Mee,"['Asian', 'Chinese', 'Local']",Kiosk or Stall,Stall 4 Zion Riverside Food Centre Zion Road 247792
NO.1 Adam's Nasi Lemak,"['Asian', 'Halal', 'Malaysian']",Kiosk or Stall,#01-01 Adam Road Food Centre Adam Road 289876
Shanshui Palace Restaurant,"['Asian', 'Chinese', 'Teochew']",Restaurant, Raffles Country Club Jalan Ahmad Ibrahim 639932
Ah Teck,['Chinese'],Kiosk or Stall,#01-04 Kallang Estate Food Centre Old Airport Road 397972
Volare by La Barca,['Italian'],Restaurant,#01-20/21/22 The Odeon Katong East Coast Road 428722
Urbana Rooftop Bar (Temporarily Closed),"['Drinks', 'International', 'Snacks', 'Western']",Restaurant,Level 33 Courtyard by Marriott Singapore Novena Irrawaddy Road 329568
Teochew Traditional Steamboat Restaurant,"['Asian', 'Chinese', 'Local', 'Seafood', 'Singaporean', 'Teochew']",Restaurant,#01-01  Joo Chiat Road 427447
Harry's (Angullia Park/ Far East Shopping Centre),"['Beer', 'Cocktails', 'Drinks', 'Western']",Bar or Pub,#01-01/02 Far East Shopping Centre Orchard Road 238882
IKURA Japanese (East Village),['Japanese'],Restaurant,#01-01 East Village Upper Changi Road 487048
Fong Seng Fast Food Nasi Lemak,"['Asian', 'Chinese', 'Indonesian', 'Local', 'Malaysian', 'Singaporean']",Cafe,  Clementi Road 129751
Chocolate Atelier,"['Desserts', 'Western']",Consumer Shop,  Joo Chiat Road 427507
Geylang Lorong 29 Carrot Cake,['Chinese'],Kiosk or Stall,  East Coast Road 428994
Sunny Korean Cuisine (West Coast Plaza),"['Asian', 'Korean']",Restaurant,#B1-08 West Coast Plaza West Coast Road 127371
Scores Sports Bar & Restaurant,"['Asian', 'Drinks', 'English', 'Western']",Restaurant, The British Club Bukit Tinggi Road 289761
The Wharf,"['Asian', 'Local', 'Singaporean', 'Western']",Cafe, Republic of Singapore Yatch Club West Coast Ferry Road 126887
Alibabar (East Coast Road),"['Asian', 'French', 'Japanese', 'Western']",Restaurant,  East Coast Road 428810
Ya Kun Kaya Toast (Far East Plaza),"['Local', 'Singaporean']",Cafe,#01-16 Far East Plaza Scotts Road 228213
Georges Hideout @ Seletar (Seletar),"['American', 'Beer', 'Western']",Bar or Pub,#02-02 Jtc Aviation Two @ Seletar Aerospace Park West Camp Road 797523
Bruno's Bistrot,"['European', 'Italian', 'Pizza', 'Seafood', 'Western']",Kiosk or Stall,#01-06  Telok Kurau Road 423910
Mad Nest,"['Asian', 'European', 'Indian', 'International', 'Japanese', 'Mediterranean', 'North Indian', 'Spanish', 'Western']",Bar or Pub,  East Coast Road 428985
Hero's,"['Beer', 'Drinks', 'Mexican', 'Wine']",Bar or Pub,#01-01  Circular Road 049423
Tiger Tavern,"['Beer', 'Drinks']",Bar or Pub,  Jalan Ahmad Ibrahim 639934
Jin Wee Coffee Shop,"['Chinese', 'Hainanese', 'Seafood', 'Steamboat', 'Zi Char']",Restaurant,  East Coast Road 459117
Wahiro (Katong),"['Asian', 'Japanese']",Restaurant,#01-01 Roxy Square Shopping Centre East Coast Road 428769
Lai Huat Sambal Fish Restaurant,['Chinese'],Restaurant,  Upper East Coast Road 455208
JB Ah Meng,"['Asian', 'Chinese', 'Local', 'Malaysian', 'Singaporean']",Kiosk or Stall, Atrium Residences Geylang Road 389490
Chuen Chuen (Upper East Coast Rd),"['Asian', 'Chinese']",Cafe, Crescendo Building Upper East Coast Road 455208
JB Garden Seafood,"['Asian', 'Chinese']",Restaurant,  Joo Chiat Road 427596
Sofnade,"['Desserts', 'Snacks']",Kiosk or Stall,#06-37 Food Xchange @ Admiralty Admiralty Street 757437
Turbot Live Seafood,"['Asian', 'Chinese']",Restaurant,#01-125 Enterprise Hub Toh Guan Road East 608586
Shyken Muslim Food Delights,"['Asian', 'Local', 'Malaysian', 'Singaporean']",Kiosk or Stall,1F Roxy Square East Coast Road 428769
Fish & Greens Bistro,['Italian'],Restaurant,#01-12 Katong Square East Coast Road 423371
Formosa Delights (Clementi Road),"['Asian', 'Chinese']",Bar or Pub,  Clementi Road 129749
Ah Wen Lao Huo Tang,['Chinese'],Kiosk or Stall,#01-21 Old Airport Road Food Centre Old Airport Road 390051
Hive by Wala Wala,"['Beer', 'Drinks', 'International', 'Wine']",Bar or Pub,#01-01 Furama Riverfront Singapore Havelock Road 169634
Famous Sungei Road Trishaw Laksa (Jurong East),"['Asian', 'Chinese', 'Local', 'Nonya / Peranakan']",Kiosk or Stall,01-207 Yuhua Market and Hawker Centre Jurong East Avenue 1 600347
Hob Nob Cafe Bar,"['American', 'Western']",Cafe,#03-18/19 Far East Shopping Centre Orchard Road 238882
Tonkotsu Kazan (JEM),"['Asian', 'Japanese']",Restaurant,#03-09 JEM Jurong Gateway Road 608549
Oishii Bakery,['Desserts'],Confectionery or Bakery,#B1-21 West Coast Plaza West Coast Road 127371
Ah Lim Mee Pok You Mian Kway Teow Mee,"['Asian', 'Chinese']",Kiosk or Stall, Soy Eu Tua Coffee Shop Upper East Coast Road 455207
Meet & Meat (East Coast Road),"['Desserts', 'Western']",Cafe,  East Coast Road 428755
SAN HE F&B PTE LTD,['Asian'],Coffee Shop,  Joo Chiat Road 427429
Wondertales Pattiserie,"['Desserts', 'Snacks']",Confectionery or Bakery,#01-07 Vibes @ East Coast Telok Kurau Road 423858
Yo Ban Mian,['Singaporean'],Kiosk or Stall,  Senoko South Road 758075
Domino's Pizza (Siglap),"['Halal', 'Pizza', 'Western']",Restaurant,  East Coast Road 459111
Ah Meng Restaurant,"['Chinese', 'Hainanese', 'Singaporean']",Restaurant, Singapore Zoo Mandai Lake Road 729826
P.O.D Bistro,"['Chinese', 'Drinks', 'Western']",Bar or Pub,  East Coast Road 459060
Baba Chews,"['Asian', 'Singaporean', 'Western']",Restaurant,#01-01 Katong Square East Coast Road 428788
Ocean Spoon Dining (SAF Yacht Club),"['Chinese', 'Seafood', 'Western']",Restaurant, SAF Yacht Club Admiralty Road West 759962
Xin Wang Hong Kong Cafe (West Coast Plaza),"['Chinese', 'Desserts', 'Hong Kong', 'Snacks', 'Western']",Cafe,#B1-04 West Coast Plaza West Coast Road 127371
Dunman Road Char Siew Wan Ton Mee,['Chinese'],Kiosk or Stall,#02-19 Dunman Road Food Centre Onan Road 424768
Janggut Laksa (East Coast),"['Asian', 'Chinese', 'Nonya / Peranakan']",Kiosk or Stall,#01-64 Roxy Square East Coast Road 428769
Summer Palace,['Cantonese'],Restaurant,Level 3 The Regent Singapore Cuscaden Road 249715
Dian Xiao Er (Jem),"['Asian', 'Chinese']",Restaurant,#03-08 Jem Jurong Gateway Road 608549
Joo Chiat Ah Huat Wanton Noodle,"['Chinese', 'Local']",Kiosk or Stall,#01-04 Dunman Road Food Centre Onan Road 424768
Sin Heng Claypot Bak Kut Teh,"['Asian', 'Chinese', 'Local', 'Singaporean']",Kiosk or Stall,  Joo Chiat Road 427652
"West Coast BBQ Chicken Wing, Porridge, Rojak","['Chinese', 'Singaporean']",Kiosk or Stall,#02-01 Mei Chin Road Market Mei Chin Road 140159
McDonald's (Siglap Centre),"['American', 'Desserts', 'Halal', 'Snacks', 'Western']",Fast Food Place,#01-07/08/09 Siglap Centre Siglap Road 455871
Han's (Jem),"['Asian', 'International', 'Western']",Cafe,#B1-03 Jem Jurong Gateway Road 608549
Hood Guan Vegetarian Food,"['Chinese', 'Vegetarian']",Kiosk or Stall,#02-132 Amoy Street Food Centre Maxwell Road 069111
D'bun Cafe (Joo Chiat Rd),"['Asian', 'Chinese']",Cafe,  Joo Chiat Road 427603
Chat Masala (Upper East Coast),"['Asian', 'Indian', 'North Indian', 'South Indian']",Restaurant,  Upper East Coast Road 455254
East Ocean Teochew Restaurant,"['Asian', 'Cantonese', 'Chinese', 'Dim Sum', 'Teochew']",Restaurant,#05-08/09 Ngee Ann City Orchard Road 238872
328 Katong Laksa (East Coast Road),"['Asian', 'Chinese', 'Local', 'Nonya / Peranakan']",Kiosk or Stall,  East Coast Road 428914
Traditional Haig Road Putu Piring (Onan Road),"['Asian', 'Desserts', 'Indonesian', 'Local', 'Malaysian', 'Singaporean']",Confectionery or Bakery,#01-02 Alwadi Coffeeshop @ Hotel 81 - Tristar Onan Road 423492
Al Forno Tapas & Wine Bar,"['Drinks', 'Italian', 'Wine']",Restaurant,  East Coast Road 459058
Indian Tandoor Restaurant,"['Indian', 'North Indian']",Restaurant,#01-65 East Village Upper Changi Road 487048
Waterbath Chef,['Western'],Restaurant,#B1-57 West Coast Plaza West Coast Road 127371
Jag's Gastropub (East Coast Road),"['Beer', 'French', 'Western', 'Wine']",Bar or Pub,  East Coast Road 459114
Delhi 6 (Katong V),"['Asian', 'Indian', 'North Indian']",Restaurant,#01-12/13 Katong V Mall East Coast Road 428751
The Bread Project,"['European', 'Western']",Cafe,  Joo Chiat Road 427445
Putera Puteri Our Makan Place,"['Asian', 'Barbecue', 'Seafood', 'Thai']",Restaurant,  Clementi Road 129743
Astons Specialties,['Western'],Restaurant,  East Coast Road 428806
Xin Wang Hong Kong Cafe (Jem),"['Chinese', 'Desserts', 'Hong Kong', 'Snacks', 'Western']",Cafe,#04-25 Jem Jurong Gateway Road 608549
Doong Ji Korean Restaurant,"['Asian', 'Korean']",Restaurant,  East Coast Road 428919
The Royals Cafe,"['Asian', 'Desserts', 'Halal', 'Local', 'Singaporean', 'Western']",Cafe, Crescendo Building Upper East Coast Road 455209
Hong Kong Kitchen,"['Asian', 'Cantonese', 'Hong Kong', 'Seafood', 'Sichuan']",Restaurant,  Clementi Road 129753
Ah Huat Cafe,['Drinks'],Hawker,#01-09 Dunman Food Centre Onan Road 424768
Ah Mah Homemade Cake (Paya Lebar Square),['Desserts'],Confectionery or Bakery,#B1-46 Paya Lebar Square Paya Lebar Road 409051
Shaburi & Kintan Buffet,"['Asian', 'Barbecue', 'Japanese']",Restaurant,#03-11/12 Jem Jurong Gateway Road 608549
Yue Yan Delicacies,['Local'],Confectionery or Bakery,#02-27 Food Xchange @ Admiralty Admiralty Street 757437
Forty Hands (East Coast),"['Drinks', 'Western']",Cafe,  East Coast Road 428923
Katamaara Enterprises,"['Asian', 'Indian']",Cafe,#05-119  Woodlands Ring Road 730635
HJH Maimunah Restaurant (Joo Chiat Rd),"['Asian', 'Indonesian', 'Malaysian']",Restaurant,#01-02  Joo Chiat Road 427357
Ah Jiu Coffee Stall,['Drinks'],Kiosk or Stall,#01-27 Havelock Road Cooked Food Centre Havelock Road 162022
Ah Hoe Cooked Food,"['Chinese', 'Singaporean']",Kiosk or Stall,#02-10 Mei Chin Road Market Mei Chin Road 140159
Sushi Tei (West Coast Plaza),"['Asian', 'Japanese']",Restaurant,#01-87 West Coast Plaza West Coast Road 127371
Kota88 Restaurant,['Indonesian'],Restaurant,#01-02 Springvale East Coast Road 459107
Seoul Yummy (Jem),['Korean'],Restaurant,#03-05/06 Jem Jurong Gateway Road 608549
Third Place (Tuas 7),"['American', 'Asian', 'Drinks', 'Fusion', 'Western']",Bar or Pub,  Tuas Avenue 7 639272
Starbucks (The Gateway),"['American', 'European', 'Western']",Cafe,#01-01 The Gateway West Beach Road 189720
Mikawa Yakitori Bar (Siglap),['Japanese'],Restaurant,  Upper East Coast Road 455220
Ah Long Pancake (Sultan Plaza),"['Desserts', 'Local']",Kiosk or Stall,#01-26A Sultan Plaza Jalan Sultan 199001
Famous Sungei Road Trishaw Laksa (Jurong East),"['Asian', 'Chinese', 'Local', 'Nonya / Peranakan']",Kiosk or Stall,01-207 Yuhua Market and Hawker Centre Jurong East Avenue 1 600347
Tipple and Dram,"['Beer', 'Cocktails', 'Drinks', 'Wine']",Bar or Pub,  Ann Siang Road 069704
D' Cuisines Restaurant,"['Asian', 'Chinese', 'Indian', 'North Indian', 'South Indian']",Restaurant, Sia Group Sports Club Upper Changi Road East 486046
FLUTES Restaurant.Bar,"['European', 'Modern European', 'Wine']",Bar or Pub, The National Museum of Singapore Stamford Road 178897
San Bao,['Chinese'],Kiosk or Stall, Zhong Shan Mall Ah Hood Road 329984
Grandfather Carrot Cake,['Chinese'],Kiosk or Stall,  Upper East Coast Road 455207
New Ubin Seafood at Zhongshan Park (Zhongshan Park),"['Asian', 'Chinese', 'Seafood']",Restaurant, Ramada Singapore At Zhongshan Park Ah Hood Road 329982
Butter & Spice,['North Indian'],Restaurant,#01-06 The Flow Mall East Coast Road 428778
Lau Hong Ser Rojak,"['Chinese', 'Local', 'Snacks']",Kiosk or Stall,#02-14 Dunman Road Food Centre Onan Road 424768
Mansor D'Cafe (Far East Plaza),['Indonesian'],Cafe,#04-34 Far East Plaza Scotts Road 228213
Panamericana,['Western'],Bar or Pub, Sentosa Golf Club Bukit Manis Road 099892
Hong Kong Street Family Restaurant Bedok (East Village),"['Asian', 'Cantonese', 'Chinese']",Restaurant,#01-67/68 East Village Upper Changi Road 487048
Westlake (Queen's Road),"['Asian', 'Chinese', 'Hokkien', 'Local', 'Singaporean']",Restaurant,#02-139  Queen's Road 260004
Ah Du,"['Chinese', 'Snacks']",Kiosk or Stall,#01-02 Kallang Estate Food Centre Old Airport Road 397972
Galley by the Straits,"['Asian', 'Chinese', 'Seafood', 'Western']",Restaurant, Saf Yacht Club Admiralty Road West 759962
Gelato Art,"['Desserts', 'Western']",Kiosk or Stall,#01-06 Ocean Park East Coast Road 458965
Baker's Well,"['Desserts', 'Snacks']",Confectionery or Bakery,  East Coast Road 428754
Al Forno (East Coast),"['European', 'Italian', 'Pizza', 'Steak and Grills', 'Western']",Restaurant,  East Coast Road 428996
Bread & Hearth (Katong V),"['European', 'Western']",Cafe,#02-27/28/29 Katong V East Coast Road 428751
Geylang Lor 29 Fried Hokkien Mee,"['Asian', 'Chinese', 'Hokkien']",Kiosk or Stall,  East Coast Road 428994
The Olives,['Western'],Cafe,#02-21 Odeon Katong Shopping Centre East Coast Road 428722
Ah Long Pancake (Paya Lebar Square),"['Desserts', 'Local']",Kiosk or Stall,#01-48 Paya Lebar Square Paya Lebar Road 409051
Phở Việt,['Vietnamese'],Restaurant,#01-01 Betel Box Backpackers Hostel Joo Chiat Road 427471
