placeId,Stall Name,Cuisine,Cuisine 1,Cuisine 2,Cuisine 3,Shop Type,Address,Google Address,Average Review,Number of Reviews
0,Fatty Cheong,[None],,,,Kiosk or Stall,#01-144 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-120, Singapore 150006",4.2,153
1,Mani Iyer Mess,['South Indian'],South Indian,,,Restaurant,#01-01 Little India Conservation Area Hindoo Road 209107,Hindoo Rd,4.3,435
2,Stall #01-46,"['Chinese', 'Snacks']",Chinese,Snacks,,Kiosk or Stall,#01-46 Jalan Batu Food Centre Jalan Batu 432004,,,
3,Wei Xiang Kitchen,"['Chinese', 'Seafood']",Chinese,Seafood,,Kiosk or Stall,#01-106 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-106, Singapore 150006",5,1
4,The Thai Table,"['Asian', 'Indochinese', 'Thai']",Asian,Indochinese,Thai,Restaurant, Picardy Garden Jalan Pari Burong 488686,"20 Jln Pari Burong, Singapore 488686",4.2,34
5,Swee Heng Classic 1989 (The Seletar Mall),"['Desserts', 'Halal']",Desserts,Halal,,Confectionery or Bakery,#B1-K7/K8/K9 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #B1-K7/K8/K9, Singapore 797653",3.8,8
6,Selegie Soya Bean (Jalan Kayu),"['Chinese', 'Desserts', 'Singaporean', 'Snacks']",Chinese,Desserts,Singaporean,Cafe, Jalan Kayu Estate Jalan Kayu 799471,"247 Jln Kayu, Singapore 799471",3.8,362
7,Texas Chicken (The Seletar Mall),"['American', 'Halal', 'Western']",American,Halal,Western,Fast Food Place,#B1-06/07 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, Singapore 797653",4.4,637
8,Peony Jade Restaurant (Keppel Club),"['Asian', 'Cantonese', 'Chinese', 'Dim Sum', 'Sichuan']",Asian,Cantonese,Chinese,Restaurant,Level M Keppel Club Bukit Chermin Road 109918,"10 Bukit Chermin Rd, M Level, 109918",3.9,445
9,Ten Points Porridge (Seletar Mall),"['Chinese', 'Local']",Chinese,Local,,Kiosk or Stall,#B1-26 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #B1-26 The Seletar Mall, Singapore 797653",4.1,38
10,M.J Cafe Corner (Special Ginger Tea),"['Drinks', 'Juices']",Drinks,Juices,,Kiosk or Stall,#01-09 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-09, Singapore 150006",,
11,Soon Huat Satay Mee Hoon,"['Asian', 'Chinese']",Asian,Chinese,,Kiosk or Stall,#01-47 Abc Brickworks Market And Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-47 ABC Food Centre, Singapore 150006",4.3,4
12,Fayidha Restaurant (Pahang Street),"['Malaysian', 'South Indian']",Malaysian,South Indian,,Kiosk or Stall, Kampong Glam Conservation Area Pahang Street 198604,"2 Pahang St, Singapore 198604",4.1,122
13,Lin Ji Niang Re Gao Guo Mei Shi Tan,"['Chinese', 'Snacks']",Chinese,Snacks,,Kiosk or Stall,#01-1648A Jalan Bukit Merah Food Centre Jalan Bukit Merah 160112,"144 Upper Bukit Timah Rd, Singapore 588177",5,1
