UserId,StallId,Rating
0,12029,4.9
2,13862,4
3,5251,4
4,6612,4.6
5,15110,5
6,16246,4.4
7,15896,3.9
9,1575,1.2
10,1808,4.4
15,2518,3
18,18999,4.5
19,16070,4.1
23,1355,3
24,3483,3.5
27,3210,5
31,15026,5
38,19708,3.9
43,13767,3.7
47,9160,5
49,12094,4.4
50,10982,5
53,679,3.4
54,7112,4
59,14478,0.5
60,1137,3.7
62,1377,5
65,682,3.2
66,4109,4.9
69,17989,1.3
73,1334,3.5
76,6588,2.4
78,4903,3.4
79,8226,3.4
81,7841,0.1
83,8106,5
84,15040,4.2
85,3005,3.3
94,2949,5
95,16447,3.1
96,16752,2.7
98,13044,4.5
103,19349,3.1
105,17326,2.4
109,13600,4.2
118,8107,4.7
120,9119,5
129,8734,2.1
136,19846,0.2
138,11081,0.6
147,17197,3.8
149,4171,1.9
150,5740,2.1
152,6288,3.1
154,5583,3.7
160,17238,3.2
161,3642,4
162,12947,2.3
163,2899,1.8
167,5024,0.2
168,15081,0.7
171,9988,3.4
173,12014,3.5
176,7857,3.3
178,14173,3.8
179,1172,4.2
181,7832,4.6
183,1871,5
184,2604,4.5
185,7537,3.1
187,9333,4.2
193,17608,3.6
195,9892,2.4
198,10884,4.8
199,6358,4.6
201,15574,4.1
209,18707,2.2
213,7050,5
214,13418,4.3
216,16006,1.4
218,12931,3.4
219,6067,4.8
220,11093,4.4
225,14762,4.3
232,7287,5
234,20213,3.4
235,12305,5
239,16132,5
241,808,3
242,17578,1.4
243,9149,4.4
245,7458,4.4
247,8467,2.9
251,12298,1.2
260,7404,4.5
262,16546,4.2
267,6249,4.4
268,11081,4.9
272,18399,4
275,13028,4.2
276,8538,3.9
277,2910,3
278,9554,3
279,18456,5
282,18843,3.5
283,3622,4.1
287,13084,3.3
299,7086,5
300,10879,2.6
301,11677,3.5
308,5097,5
311,10755,5
314,16686,0.6
317,1413,4.8
319,6628,3.1
320,15270,3.3
324,14251,5
325,17403,2.3
327,8479,4.3
328,11726,0.9
332,13581,3.8
334,7454,2
338,7862,3.5
344,9360,2.5
346,2421,3.4
347,19751,4.4
349,6715,4.6
350,1219,4.2
353,16165,4.4
355,7332,0
360,15760,2.9
361,20385,3.1
365,11793,2.2
368,14141,5
370,4357,3
373,14563,4.6
374,7817,5
375,752,5
376,5144,4.6
379,18714,2.8
380,14016,1
382,20271,0.9
383,10756,0.2
384,9924,4.9
389,17732,5
390,4720,2.9
393,17123,2.5
394,6037,3.8
395,11221,5
397,3368,2
398,13773,3
401,1074,5
404,20559,2.5
407,7617,4.2
410,762,2.8
411,942,1.8
412,18539,4.2
415,17818,4.6
419,16707,2.7
421,767,0
422,5124,5
423,17241,2.8
424,19891,4.6
425,13937,1.9
428,5804,5
429,1708,3.5
433,4584,3.9
434,9757,4.7
435,564,2.9
444,15354,3.7
445,18816,3.1
448,7550,4.1
454,12405,4.1
455,1002,2.2
458,9344,4.5
461,4148,3
465,1262,5
466,15927,2
474,9776,4.2
476,10027,2.2
481,8226,3.1
483,13161,3
484,13749,4.3
485,6817,3.1
486,18364,4.2
488,20452,4.9
489,9493,4
490,9141,4.8
491,3992,2.8
492,10836,4.1
493,4345,4.9
496,20383,3.5
497,5871,3.7
498,16011,5
499,670,3.8
501,15324,2.6
503,2792,4.1
506,17835,4.2
508,9042,4.3
514,3771,4.6
517,19138,4.3
519,18230,4
520,12614,4.6
527,17165,4.6
528,6926,4.4
529,11314,1.6
532,3543,4.8
537,17520,3.4
540,12851,5
543,1641,3.1
544,20447,5
546,1263,4.6
549,20681,2.3
550,14022,2.6
552,10907,2.6
553,1099,2.9
554,6122,1.8
558,15110,3.1
559,9736,5
561,11381,4.7
562,14992,1.7
564,12850,5
566,1401,5
567,18839,5
569,9148,4.5
570,4029,1.1
573,1842,2.1
574,20269,1.4
575,12469,4.8
576,19340,2.8
579,12582,2.8
581,1677,3
586,6792,2.9
587,2025,5
590,9732,1.3
593,15038,1.2
596,5468,1.2
597,7488,4.7
599,11297,4.1
600,19825,2
602,14237,2.5
603,167,1.7
608,1583,2.6
609,5935,5
610,8612,4.3
611,9066,2.1
615,8632,3.8
618,13705,1.6
620,19033,3.9
624,9842,2.5
625,9870,3.5
630,10303,0.8
634,11621,3.2
637,18007,1.5
640,8747,3.2
642,2518,3.9
643,9006,5
645,11957,2.6
647,397,4.7
648,1253,2.6
651,8673,3.5
654,17225,3
655,15574,2.2
656,19589,3
657,6348,3.1
658,12603,2.1
659,18014,0.3
660,12606,5
661,19228,4.2
663,228,0.7
667,10939,2.5
668,19120,3.1
670,8382,3.9
672,20751,3.2
673,11532,4.5
675,5044,1.8
677,12908,2.4
679,8421,0.7
688,426,1.2
690,12725,2
693,64,3.6
697,13170,4.2
698,4827,2.2
701,20169,2.7
702,6151,5
703,17017,2.9
712,7497,4.1
713,17170,4
716,17559,2.6
717,18037,5
720,16526,2.5
722,11086,4.3
723,8891,2.7
726,6496,4.9
727,11376,2.9
729,16163,3.3
730,15656,4.3
731,7198,4.4
733,6628,3.2
736,14086,4
737,8234,3.2
738,12319,0.8
741,2296,0.6
744,11091,0.8
745,9757,4.3
746,8735,2.8
747,16858,0.7
749,2786,4.8
760,10048,1.4
762,13406,0.6
764,7201,1.4
766,3572,4.3
768,8208,4.7
769,15329,4.7
773,9916,0.3
775,5320,2.8
778,3342,4.1
779,7050,4.6
781,15393,5
784,13853,2.6
789,7811,2.3
791,19223,1.7
794,4243,0.6
797,2449,4.5
799,10932,0.2
800,13737,4.9
801,18069,4.5
802,10034,4
806,10601,5
809,6479,3.5
810,11669,2.7
811,19006,0.8
813,11278,2.4
815,2233,4.4
816,519,3.3
817,14949,5
818,11733,4.1
825,7000,1.7
826,85,3.2
827,10793,2.6
829,18983,2.4
830,8723,4.7
831,2043,1.5
834,5656,1.7
835,1488,5
836,1873,5
837,872,3.1
838,1383,2.7
839,15650,2.4
841,155,0.2
842,2836,1.8
843,5823,5
847,5664,4.2
848,10097,2.9
849,16221,3.6
854,17225,4.4
857,8393,2.2
859,1214,3.6
861,12317,3.7
867,6478,3.9
868,6906,4
869,4373,4.7
871,6768,5
873,11440,5
874,1821,3.9
880,17862,2.1
881,10465,3.2
884,8852,3.1
887,19134,2.5
888,6051,3
889,155,3.1
896,2774,1.4
900,10936,3
901,18295,3
904,4290,4.5
905,20007,0
908,3846,3.3
909,8905,5
910,17183,5
914,10755,3.2
916,9541,2.3
919,8852,0.8
920,9480,1.1
921,1772,2.7
924,11302,2.2
925,10601,4.9
928,11564,3.1
933,15487,1.5
940,4716,5
